mode,iteration,cells,iter_per_sec
adaptive,20900,17239,0.015193
adaptive,21000,18022,0.014389
adaptive,21100,18792,0.013546
adaptive,21200,19596,0.012747
adaptive,21300,20426,0.012036
adaptive,21400,21314,0.011337
adaptive,21500,22270,0.010555
adaptive,21600,23210,0.010014
adaptive,21700,24274,0.009279
adaptive,21800,25341,0.00874
adaptive,21900,26534,0.008161
v1,350,1,50.0
v1,500,2,50.0
v1,700,2,50.0
v1,950,2,50.0
v1,1250,3,50.0
v1,1400,3,50.0
v1,1600,3,50.0
v1,1750,4,50.0
v1,1900,4,50.0
v1,2050,4,50.0
v1,2250,4,50.0
v1,2400,4,50.0
v1,2600,4,50.0
v1,2750,4,50.0
v1,2900,4,50.0
v1,3000,4,50.0
v1,3150,4,50.0
v1,3250,6,50.0
v1,3350,6,50.0
v1,3450,7,50.0
v1,3500,7,50.0
v1,3550,7,50.0
v1,3650,7,50.0
v1,3750,7,50.0
v1,3800,7,50.0
v1,3900,7,50.0
v1,4000,7,50.0
v1,4100,8,50.0
v1,4150,8,50.0
v1,4200,8,50.0
v1,4300,9,50.0
v1,4350,9,50.0
v1,4400,9,50.0
v1,4450,10,50.0
v1,4500,10,50.0
v1,4550,10,50.0
v1,4600,11,50.0
v1,4650,11,50.0
v1,4700,12,50.0
v1,4750,12,50.0
v1,4800,12,50.0
v1,4850,12,50.0
v1,4900,14,50.0
v1,4950,14,50.0
v1,5000,14,25.0
v1,5050,16,50.0
v1,5100,16,25.0
v1,5150,16,50.0
v1,5200,16,50.0
v1,5250,16,25.0
v1,5300,16,50.0
v1,5350,16,50.0
v1,5400,16,25.0
v1,5450,16,50.0
v1,5500,16,25.0
v1,5550,16,50.0
v1,5600,16,25.0
v1,5650,16,50.0
v1,5700,17,25.0
v1,5750,17,50.0
v1,5800,17,25.0
v1,5850,17,25.0
v1,5900,18,25.0
v1,5950,18,50.0
v1,6000,20,16.666667
v1,6050,20,25.0
v1,6100,21,25.0
v1,6150,23,16.666667
v1,6200,25,16.666667
v1,6250,27,16.666667
v1,6300,27,16.666667
v1,6350,29,16.666667
v1,6400,29,16.666667
v1,6450,30,12.5
v1,6500,31,16.666667
v1,6550,31,16.666667
v1,6600,31,12.5
v1,6650,31,12.5
v1,6700,32,16.666667
v1,6750,32,12.5
v1,6800,32,12.5
v1,6850,32,12.5
v1,6900,32,12.5
v1,6950,33,12.5
v1,7000,33,10.0
v1,7050,33,12.5
v1,7100,35,12.5
v1,7150,35,10.0
v1,7200,37,10.0
v1,7250,37,10.0
v1,7300,37,10.0
v1,7350,38,8.333333
v1,7400,39,10.0
v1,7450,41,8.333333
v1,7500,45,7.142857
v1,7550,46,7.142857
v1,7600,49,6.25
v1,7650,50,5.555556
v1,7700,52,6.25
v1,7750,54,6.25
v1,7800,57,6.25
v1,7850,57,5.555556
v1,7900,58,6.25
v1,7950,60,5.0
v1,8000,60,5.555556
v1,8050,60,5.555556
v1,8100,62,5.555556
v1,8150,64,4.545455
v1,8200,65,5.0
v1,8250,66,4.545455
v1,8300,66,4.545455
v1,8350,67,4.545455
v1,8400,68,4.545455
v1,8450,68,4.545455
v1,8500,70,4.166667
v1,8550,71,3.846154
v1,8600,73,3.846154
v1,8650,76,4.166667
v1,8700,76,3.571429
v1,8750,77,3.846154
v1,8800,77,3.571429
v1,8850,82,3.571429
v1,8900,82,3.333333
v1,8950,89,3.125
v1,9000,93,2.941176
v1,9050,93,2.941176
v1,9100,94,2.941176
v1,9150,98,2.777778
v1,9200,103,2.631579
v1,9250,104,2.631579
v1,9300,105,2.631579
v1,9350,106,2.5
v1,9400,109,2.5
v1,9450,113,2.380952
v1,9500,116,2.173913
v1,9550,116,2.272727
v1,9600,120,2.173913
v1,9650,124,2.083333
v1,9700,125,2.083333
v1,9750,129,1.923077
v1,9800,129,1.923077
v1,9850,129,1.923077
v1,9900,133,1.851852
v1,9950,138,1.724138
v1,10000,141,1.724138
v1,10050,144,1.666667
v1,10100,150,1.5625
v1,10150,151,1.612903
v1,10200,153,1.5625
v1,10250,161,1.470588
v1,10300,166,1.428571
v1,10350,171,1.388889
v1,10400,175,1.282051
v1,10450,181,1.25
v1,10500,182,1.25
v1,10550,187,1.219512
v1,10600,194,1.162791
v1,10650,203,1.136364
v1,10700,205,1.136364
v1,10750,209,1.111111
v1,10800,217,1.086957
v1,10850,219,1.041667
v1,10900,222,1.020408
