iteration,adaptive_cells,v1_cells,adaptive_mean_pressure,v1_mean_pressure,rel_dev_pct
6400,30.0,29.0,159.42,167.006552,4.5427
6450,30.0,30.0,151.14,162.135,6.7814
6500,30.0,31.0,154.306667,158.65129,2.7385
6550,30.0,31.0,157.16,160.072258,1.8193
6600,30.0,31.0,150.106667,156.522581,4.099
6650,30.0,31.0,145.143333,154.0,5.7511
6700,30.0,32.0,146.233333,155.365625,5.8779
6750,30.0,32.0,147.39,157.19375,6.2367
6800,31.0,32.0,145.694839,150.971875,3.4954
6850,31.0,32.0,147.483871,146.271875,0.8286
6900,31.0,32.0,147.332258,148.440625,0.7467
6950,31.0,33.0,143.383871,152.969697,6.2665
7000,32.0,33.0,145.025,152.612121,4.9715
7050,32.0,33.0,146.465625,146.648485,0.1247
7100,33.0,35.0,147.221212,147.565429,0.2333
7150,33.0,35.0,149.048485,155.168571,3.9442
7200,35.0,37.0,147.302857,152.267568,3.2605
7250,36.0,37.0,150.127778,150.747297,0.411
7300,39.0,37.0,152.770513,154.286486,0.9826
7350,42.0,38.0,156.500714,154.216579,1.4811
7400,42.0,39.0,158.554762,154.666667,2.5139
7450,44.0,41.0,156.683409,148.256098,5.6843
7500,47.0,45.0,161.595745,149.183111,8.3204
7550,48.0,46.0,162.3825,162.71087,0.2018
7600,49.0,49.0,160.032653,162.55102,1.5493
7650,52.0,50.0,161.9,161.1978,0.4356
7700,52.0,52.0,162.136538,163.690962,0.9496
7750,52.0,54.0,155.260385,163.614815,5.1062
7800,53.0,57.0,154.656604,163.063158,5.1554
7850,53.0,57.0,157.40566,165.168421,4.6999
7900,53.0,58.0,154.256604,161.23431,4.3277
7950,55.0,60.0,151.732727,159.537167,4.8919
8000,55.0,60.0,153.712727,163.871667,6.1993
8050,56.0,60.0,152.243929,162.131667,6.0986
8100,57.0,62.0,151.982456,157.677419,3.6118
8150,59.0,64.0,153.666102,160.3625,4.1758
8200,61.0,65.0,154.242131,159.433846,3.2563
8250,61.0,66.0,152.34918,155.700758,2.1526
8300,61.0,66.0,150.937705,154.359091,2.2165
8350,62.0,67.0,152.027097,156.892537,3.1011
8400,63.0,68.0,153.680952,155.860294,1.3983
8450,67.0,68.0,152.192537,155.327941,2.0186
8500,70.0,70.0,155.430743,155.428571,0.0014
8550,75.0,71.0,159.2952,156.635211,1.6982
8600,75.0,73.0,162.498667,155.030137,4.8175
8650,75.0,76.0,158.814667,157.877632,0.5935
8700,80.0,76.0,157.620625,160.447368,1.7618
8750,83.0,77.0,163.737723,160.120779,2.2589
8800,85.0,77.0,165.481882,157.850649,4.8345
8850,87.0,82.0,163.932874,155.735976,5.2633
8900,87.0,82.0,164.563563,158.789024,3.6366
8950,91.0,89.0,162.118901,158.424831,2.3317
9000,94.0,93.0,160.540426,161.637742,0.6789
9050,96.0,93.0,159.527083,163.330108,2.3284
9100,98.0,94.0,160.278878,162.007128,1.0668
9150,102.0,98.0,162.587451,162.451939,0.0834
9200,105.0,103.0,165.11,168.629223,2.087
9250,106.0,104.0,163.497736,172.397115,5.1621
9300,110.0,105.0,162.855727,163.835619,0.5981
9350,112.0,106.0,165.391964,161.721038,2.2699
9400,113.0,109.0,163.676106,164.113725,0.2667
9450,116.0,113.0,161.905172,162.604159,0.4299
9500,116.0,116.0,164.022414,160.854397,1.9695
9550,117.0,116.0,162.940855,160.849741,1.3
9600,119.0,120.0,160.587395,161.115583,0.3278
9650,120.0,124.0,159.2525,163.229839,2.4366
9700,123.0,125.0,157.972358,164.5256,3.9831
