mode,iteration,cells,wall_hours
adaptive,21000,18022,37.435
adaptive,21100,18792,39.51778
adaptive,21200,19596,41.72972
adaptive,21300,20426,44.07361
adaptive,21400,21314,46.56333
adaptive,21500,22270,49.23722
adaptive,21600,23210,52.05667
adaptive,21700,24274,55.10139
adaptive,21800,25341,58.33306
adaptive,21900,26534,61.79361
v1,0,1,0.0
v1,50,1,0.0
v1,100,1,0.0
v1,150,1,0.0
v1,200,1,0.0
v1,250,1,0.0
v1,300,1,0.0
v1,350,1,0.00028
v1,400,2,0.00028
v1,450,2,0.00028
v1,500,2,0.00056
v1,550,2,0.00056
v1,600,2,0.00056
v1,650,2,0.00056
v1,700,2,0.00083
v1,750,2,0.00083
v1,800,2,0.00083
v1,850,2,0.00083
v1,900,2,0.00083
v1,950,2,0.00111
v1,1000,2,0.00111
v1,1050,2,0.00111
v1,1100,2,0.00111
v1,1150,2,0.00111
v1,1200,2,0.00111
v1,1250,3,0.00139
v1,1300,3,0.00139
v1,1350,3,0.00139
v1,1400,3,0.00167
v1,1450,3,0.00167
v1,1500,3,0.00167
v1,1550,3,0.00167
v1,1600,3,0.00194
v1,1650,4,0.00194
v1,1700,4,0.00194
v1,1750,4,0.00222
v1,1800,4,0.00222
v1,1850,4,0.00222
v1,1900,4,0.0025
v1,1950,4,0.0025
v1,2000,4,0.0025
v1,2050,4,0.00278
v1,2100,4,0.00278
v1,2150,4,0.00278
v1,2200,4,0.00278
v1,2250,4,0.00306
v1,2300,4,0.00306
v1,2350,4,0.00306
v1,2400,4,0.00333
v1,2450,4,0.00333
v1,2500,4,0.00333
v1,2550,4,0.00333
v1,2600,4,0.00361
v1,2650,4,0.00361
v1,2700,4,0.00361
v1,2750,4,0.00389
v1,2800,4,0.00389
v1,2850,4,0.00389
v1,2900,4,0.00417
v1,2950,4,0.00417
v1,3000,4,0.00444
v1,3050,4,0.00444
v1,3100,4,0.00444
v1,3150,4,0.00472
v1,3200,4,0.00472
v1,3250,6,0.005
v1,3300,6,0.005
v1,3350,6,0.00528
v1,3400,6,0.00528
v1,3450,7,0.00556
v1,3500,7,0.00583
v1,3550,7,0.00611
v1,3600,7,0.00611
v1,3650,7,0.00639
v1,3700,7,0.00639
v1,3750,7,0.00667
v1,3800,7,0.00694
v1,3850,7,0.00694
v1,3900,7,0.00722
v1,3950,7,0.00722
v1,4000,7,0.0075
v1,4050,7,0.0075
v1,4100,8,0.00778
v1,4150,8,0.00806
v1,4200,8,0.00833
v1,4250,9,0.00833
v1,4300,9,0.00861
v1,4350,9,0.00889
v1,4400,9,0.00917
v1,4450,10,0.00944
v1,4500,10,0.00972
v1,4550,10,0.01
v1,4600,11,0.01028
v1,4650,11,0.01056
v1,4700,12,0.01083
v1,4750,12,0.01111
v1,4800,12,0.01139
v1,4850,12,0.01167
v1,4900,14,0.01194
v1,4950,14,0.01222
v1,5000,14,0.01278
v1,5050,16,0.01306
v1,5100,16,0.01361
